Name String,Filename,Description,CLSID Description,CLSID,Product Name,File Description,File Version,Company Name,File Modified Time,File Created Time,Standalone
Print Management,C:\WINDOWS\system32\pmcsnap.dll,You can use the Print Management snapin for centralized management of multiple print servers.,PMCComponentData Class,{D06342BD-9057-4673-B43A-0E9BBBE99F11},Microsoft® Windows® Operating System,pmcsnap dll,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:09 AM,2019-03-19 4:58:41 AM,Yes
Print Queue View Extension,C:\WINDOWS\system32\pmcsnap.dll,Print Queue View Extension,PMCPrintQueueViewExtension Class,{7C606A3F-8AA8-4E36-92D6-2B6AFEC0B732},Microsoft® Windows® Operating System,pmcsnap dll,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:09 AM,2019-03-19 4:58:41 AM,No
Public Key Policies,C:\WINDOWS\system32\certmgr.dll,,,{34AB8E82-C27E-11D1-A6C0-00C04FB94F17},Microsoft® Windows® Operating System,Certificates snap-in,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:47 AM,2019-03-19 4:45:47 AM,No
Pushed Printer Connection Extension (Computers),C:\WINDOWS\system32\ppcsnap.dll,Pushed Printer Connection Extension (Computers),MachineComponentData Class,{4FE8C25F-C8E9-4322-98EE-A11E117CF049},Microsoft® Windows® Operating System,ppcsnap DLL,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:09 AM,2019-03-19 4:58:42 AM,No
Pushed Printer Connection Extension (Users),C:\WINDOWS\system32\ppcsnap.dll,Pushed Printer Connection Extension (Users),UserComponentData Class,{CB35832D-0C2C-41A9-84E1-A7CD1E0C6254},Microsoft® Windows® Operating System,ppcsnap DLL,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:09 AM,2019-03-19 4:58:42 AM,No
Remote Desktop Gateway Extension,,Remote Desktop Gateway Extension for Remote Desktop Services Role,,FX:{476A2A1B-874D-4D88-8D88-3FAFDC50426F},,,,,,,No
Remote Desktop Gateway Snapin,,Remote Desktop Gateway Snapin,,FX:{4a5cf35e-7944-4869-9407-de1cbe40a268},,,,,,,Yes
Resultant Set of Policy,C:\WINDOWS\System32\GPEdit.dll,,Resultant Set of Policy,{6DC3804B-7212-458D-ADB0-9A07E2AE1FA2},Microsoft® Windows® Operating System,GPEdit,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:38 AM,2019-03-19 4:45:38 AM,Yes
Scripts (Logon/Logoff),C:\WINDOWS\System32\scrptadm.dll,,Scripts (Logon/Logoff),{40B66661-4972-11D1-A7CA-0000F87571E3},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Scripts (Logon/Logoff),C:\WINDOWS\System32\scrptadm.dll,,Scripts (Logon/Logoff),{40B66650-4972-11D1-A7CA-0000F87571E3},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Scripts (Startup/Shutdown),C:\WINDOWS\System32\scrptadm.dll,,Scripts (Startup/Shutdown),{40B6664F-4972-11D1-A7CA-0000F87571E3},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Scripts (Startup/Shutdown),C:\WINDOWS\System32\scrptadm.dll,,Scripts (Startup/Shutdown),{40B66660-4972-11D1-A7CA-0000F87571E3},Microsoft® Windows® Operating System,Script Adm Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:13 AM,2019-03-19 4:57:49 AM,No
Security Configuration and Analysis,C:\WINDOWS\system32\wsecedit.dll,,WSecEdit Security Manager Class,{011BE22D-E453-11D1-945A-00C04FB984F9},Microsoft® Windows® Operating System,Security Configuration UI Module,10.0.18362.719 (WinBuild.160101.0800),Microsoft Corporation,2020-03-12 9:18:57 AM,2020-03-12 9:18:57 AM,Yes
Security Settings,C:\WINDOWS\system32\wsecedit.dll,,WSecEdit Extension Class,{803E14A0-B4FB-11D0-A0D0-00A0C90F574B},Microsoft® Windows® Operating System,Security Configuration UI Module,10.0.18362.719 (WinBuild.160101.0800),Microsoft Corporation,2020-03-12 9:18:57 AM,2020-03-12 9:18:57 AM,No
